,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11776,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19768468.0,19768468.0,False,,1,,,,2024-10-16T17:05:00.000Z,67717.62302630239,43556197689.05792,-5.564,-0.15363934,1.26684791,9.76493212,17.39668791,13.48871246,5.98263279,1338673663831.522,57.6544,1422070083552.35,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
1,1027,Ethereum,ETH,ethereum,9423,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120386200.1520511,120386200.1520511,True,,2,,,,2024-10-16T17:05:00.000Z,2615.4260936973315,18836989852.794937,-11.6105,0.24908356,0.86581884,7.70687287,14.56184616,-0.37807964,-23.51722649,314861209198.74414,13.5531,314861209198.74,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
2,825,Tether USDt,USDT,tether,100424,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,119972176281.55081,121362937383.07553,True,,3,,,,2024-10-16T17:05:00.000Z,0.9997167487334372,70115205261.56113,-13.3467,-0.00598272,-0.01820362,0.03760383,-0.02849032,-0.05574246,-0.03356376,119938194010.66676,5.1655,121328561177.35,,2024-10-16T17:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-16 13:07:00.692678
3,1839,BNB,BNB,bnb,2259,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145931747.23365045,145931747.23365045,False,,4,,,,2024-10-16T17:05:00.000Z,593.9133367047144,1881492734.020624,-6.2276,-0.37390216,0.27727647,2.84560835,11.59254225,10.69356447,4.02902605,86670810930.68631,3.7307,86670810930.69,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
4,5426,Solana,SOL,solana,767,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,469859950.15799296,586719914.3358159,True,,5,,,,2024-10-16T17:05:00.000Z,155.04985340325547,2619387223.0649805,-19.3595,-0.43230026,-0.10190594,10.26202281,19.02929578,9.65348238,-1.60472018,72851716392.05772,3.1376,90970836706.54,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
5,3408,USDC,USDC,usd-coin,22491,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34768533625.56929,34768533625.56929,False,,6,,,,2024-10-16T17:05:00.000Z,0.9998342628497366,7292267829.756221,-10.2648,-0.01089631,-0.01769308,-0.0163476,-0.01930313,-0.02513786,-0.01855588,34762771187.88735,1.4964,34762771187.89,,2024-10-16T17:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-16 13:07:00.692678
6,52,XRP,XRP,xrp,1404,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56645058199.0,99987139355.0,False,,7,,,,2024-10-16T17:05:00.000Z,0.5488162770075945,1069631321.4380367,-16.9104,0.06218793,1.06730059,3.20993013,-4.97511627,-3.79283228,-3.58534547,31087729951.653694,1.3389,54881627700.76,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
7,74,Dogecoin,DOGE,dogecoin,1080,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146392586383.7052,146392586383.7052,True,,8,,,,2024-10-16T17:05:00.000Z,0.12624013349280427,2130982677.5125828,64.3089,-0.12762406,9.88895195,15.31785469,27.14404654,22.33136164,5.58147936,18480619647.435825,0.7959,18480619647.44,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
8,1958,TRON,TRX,tron,1050,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86532298183.99893,86532327804.4646,True,,9,71659659264.0,11451597114.658464,,2024-10-16T17:05:00.000Z,0.15980535258296236,329087725.69486034,-16.1016,0.08450674,0.84057604,-0.77208224,7.70963442,17.92981401,19.41842596,13828324421.107983,0.5956,13828329154.62,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
9,11419,Toncoin,TON,toncoin,578,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539170326.0433493,5113296859.733899,True,,10,3414166606.0,17856536384.584896,,2024-10-16T17:05:00.000Z,5.230130349586371,187610414.80514887,-25.6203,-0.34863365,-0.2124558,1.5608256,-3.30072238,-19.32251506,-27.70025128,13280191785.008442,0.5716,26743209092.54,,2024-10-16T17:05:00.000Z,,,,,,2024-10-16 13:07:00.692678
